,City,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
0,namibe,82.4,47,20,6.91,-15.1961,12.1522
1,butaritari,81.09,78,85,17.92,3.0707,172.7902
2,jamestown,35.24,80,1,11.5,42.097,-79.2353
3,mahebourg,86,74,40,16.11,-20.4081,57.7
4,iqaluit,-11.09,77,90,3.89,63.7506,-68.5145
5,guisijan,81.25,81,23,8.28,11.0932,122.0461
6,busselton,79.61,42,0,1.99,-33.65,115.3333
7,xifeng,4.01,91,100,9.86,42.7372,124.7222
8,orebro,12.49,85,86,2.3,59.2741,15.2066
9,cape town,72.54,94,75,13.8,-33.9258,18.4232
10,ostersund,6.53,92,62,5.75,63.1792,14.6357
11,ushuaia,44.6,76,20,2.3,-54.8,-68.3
12,west bay,75.99,88,47,3,19.3667,-81.4167
13,chokurdakh,-3.03,92,100,9.15,70.6333,147.9167
14,kodiak,35.6,87,90,14.97,57.79,-152.4072
15,albany,26.87,100,20,2.06,42.6001,-73.9662
16,soe,71.01,100,100,1.54,-9.8607,124.284
17,rikitea,77.74,72,27,6.71,-23.1203,-134.9692
18,mataura,56.89,95,6,0.98,-46.1927,168.8643
19,puerto ayora,72,95,76,1.01,-0.7393,-90.3518
20,hobart,52.81,87,75,9.22,-42.8794,147.3294
21,taolanaro,,,,,,
22,bluff,57.43,93,1,11.25,-46.6,168.3333
23,bathsheba,77,83,40,16.11,13.2167,-59.5167
24,kalino,20.23,96,100,7.43,58.2504,57.6085
25,lebu,57.16,87,100,10.96,-37.6167,-73.65
26,warsaw,22.14,79,0,10.36,52.2298,21.0118
27,yellowknife,-2.09,78,20,8.05,62.456,-114.3525
28,avarua,80.6,83,90,10.36,-21.2078,-159.775
29,nanortalik,24.6,90,94,4.9,60.1432,-45.2371
30,skalistyy,,,,,,
31,provideniya,9.09,92,100,6.02,64.3833,-173.3
32,leningradskiy,-2.92,91,100,5.17,69.3833,178.4167
33,hasaki,42.15,93,75,12.66,35.7333,140.8333
34,lavrentiya,7.12,91,100,10.96,65.5833,-171
35,touros,73.4,94,40,4.61,-5.1989,-35.4608
36,norman wells,-0.4,85,40,5.75,65.282,-126.8329
37,kaitangata,56.39,96,19,3.47,-46.2817,169.8464
38,verkhoyansk,-36.8,76,100,2.51,67.5447,133.385
39,yumen,20.64,80,0,3.11,40.2833,97.2
40,tura,69.33,48,95,4.14,25.5198,90.2201
41,punta arenas,50,87,90,9.22,-53.15,-70.9167
42,saint george,39.52,30,1,4.32,37.1041,-113.5841
43,mankera,70.93,19,0,3.24,31.3866,71.4407
44,selma,43.32,100,1,3.15,36.5708,-119.6121
45,saskylakh,-40.05,79,86,5.14,71.9167,114.0833
46,aquiraz,80.6,78,40,9.22,-3.9014,-38.3911
47,gorno-chuyskiy,,,,,,
48,saleaula,,,,,,
49,necochea,61,92,90,16.96,-38.5473,-58.7368
50,nome,20.98,73,1,8.05,64.5011,-165.4064
51,high rock,59,94,75,2.3,26.6208,-78.2833
52,georgetown,84.65,70,20,8.05,5.4112,100.3354
53,poum,82.22,82,100,6.71,-20.2333,164.0167
54,codajas,72.54,98,98,1.88,-3.8367,-62.0569
55,taoudenni,61.63,26,58,16.06,22.6783,-3.9836
56,porbandar,81.39,31,0,10.69,21.6422,69.6093
57,saint augustine,43.63,81,1,4.61,29.8947,-81.3145
58,bethel,28.89,100,1,3.67,41.3712,-73.414
59,portland,44.83,87,90,5.75,45.5234,-122.6762
60,tairua,70,69,0,10,-37.0167,175.85
61,pundaguitan,83.71,76,1,8.3,6.3711,126.1689
62,grand river south east,,,,,,
63,bur gabo,,,,,,
64,dunedin,61.45,85,60,4,-45.8742,170.5036
